ID	222	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	244	248	249	251	252	253	254	255	256	257	258	259	263	264	265	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293
Acidovorax	0	0.000934579	0.002803738	0	0.007476636	0.008411215	0.017757009	0.023364486	0.03364486	0.014953271	0.009345794	0.03364486	0.024299065	0.035514019	0.018691589	0.014018692	0.013084112	0	0.018691589	0	0.01588785	0.077570093	0.035514019	0.096261682	0.024299065	0.054205607	0.020560748	0.01588785	0	0	0	0	0	0	0	0	0	0	0.007476636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ramlibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011214953	0.004672897	0.008411215	0.004672897	0.008411215	0	0.004672897	0.006542056	0.007476636	0.007476636	0	0	0.001869159	0.000934579	0.000934579	0	0.001869159	0	0.002803738	0.000934579	0	0	0.000934579	0	0	0	0	0
Lecythophora	0.004672897	0.001869159	0.000934579	0	0.004672897	0.007476636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010280374	0.028037383	0.008411215	0.020560748	0.007476636	0.006542056	0.009345794	0.014018692	0.014953271	0	0.004672897	0.008411215	0.004672897	0.002803738	0.007476636	0.002803738	0	0.005607477
Agromyces	0.001869159	0.003738318	0.002803738	0.003738318	0.000934579	0.002803738	0.002803738	0	0.001869159	0.001869159	0.004672897	0.007476636	0.003738318	0	0	0	0	0.008411215	0.003738318	0	0.002803738	0.001869159	0.009345794	0.002803738	0.002803738	0.005607477	0.004672897	0.004672897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008411215	0.005607477	0.006542056	0.006542056	0.004672897	0.01588785	0.010280374	0.014018692	0.007476636	0.000934579	0	0.004672897	0.001869159	0.004672897	0.008411215	0.005607477	0.002803738	0.006542056	0.007476636	0.003738318	0	0.004672897	0.002803738	0.006542056	0.005607477	0.003738318	0.003738318
Uncultured Nolandellidae	0.006542056	0	0.005607477	0	0.003738318	0.005607477	0.001869159	0.000934579	0.002803738	0.000934579	0.002803738	0.004672897	0	0.001869159	0	0	0	0	0	0	0	0.002803738	0.001869159	0.001869159	0	0.003738318	0.005607477	0.003738318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax2	0.001869159	0.000934579	0.002803738	0	0.003738318	0.000934579	0.005607477	0.003738318	0.010280374	0.005607477	0.002803738	0.004672897	0.007476636	0.003738318	0	0.004672897	0.000934579	0	0.002803738	0	0	0	0	0	0.004672897	0	0.001869159	0.003738318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000934579
Acidothermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005607477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000934579	0.001869159	0	0	0	0	0	0.000934579	0.000934579	0	0.003738318	0.002803738	0.004672897	0.006542056	0.001869159	0.003738318	0.001869159	0.010280374	0.005607477	0.003738318	0.001869159	0.002803738	0.004672897	0.009345794	0.003738318
Unassigned	0	0	0	0	0	0	0	0.000934579	0.001869159	0	0	0.000934579	0	0	0	0	0	0	0	0	0	0.000934579	0	0.000934579	0.001869159	0.001869159	0.001869159	0	0	0	0	0	0.000934579	0.001869159	0.003738318	0.003738318	0.004672897	0.002803738	0.002803738	0.000934579	0.000934579	0.001869159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uncultured Deltaproteobacteria (BIrii41)	0	0.009345794	0.003738318	0	0.004672897	0.008411215	0.006542056	0.003738318	0.000934579	0.006542056	0.009345794	0.005607477	0.004672897	0.008411215	0.003738318	0.008411215	0.011214953	0.005607477	0.027102804	0	0	0	0.005607477	0.000934579	0.002803738	0.003738318	0.003738318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
